ID ,Finished Part Number ,QPE,Forging Part Number ,INTERNAL PART ID,LTA QUOTE NUMBER,QUOTE # IN VISUAL,Nomenclature ,"LTA COS - Finished Part L (+.010 Tol.) ","LTA COS - Finished Part ID (-.005 Tol.) ",LTA COS - Finished Part OD (+.005 Tol.) ,Material  Name ,Material Spec/Class,Drawing/Contour ,Winning Supplier ,2016 Price ,2017 Price ,YOY ,Mat. Type,EP,VSE Initiated,VSE Phase ,Order Received From Machining Source (Y/N),Date Machine Shop PO Received,Required Date for 1st Delivery,MACHINING SOURCE,"Mach Shop COS - Finished Part L (+.010 Tol.) ","Mach Shop COS - Finished Part ID (-.005 Tol.) ",Mach Shop COS - Finished Part OD (+.005 Tol.) ,Agreed Upon Shape (Y/N),Billet Commit Date,Supplier Commit ,First Shipment Quantity,Production Lead Time,COMMENTS,PO IN PLACE Y/N,QUALIFICATIION REQUIREMENTS
114,2542M94P01,1,2542M94P01.000R,1217115,190170,202611,"SEAL, STATIONARY, OIL-NUMBER 4 BEAR",1.955,6.433,8.391,A286,AMS 5734,,Alcoa Rochester,$250,$238 ,5%,A286,Leap-1B,,,Y,7/28/15,10/1/15,Xian 30% / B&E 40% ,1.955,6.433,8.391,Y,TBD,TBD,12,6 WEEKS,B&E PLACED PO 7/28 - IN WIP,Y,NEW QUALIFICATION
120,2461M37P01,1,2461M37P01.000R,1216982/1217116,190176,192272/200327,"NUT, COUPLING HPT ROTOR",0.985,4.602,5.265,IN718,C50TF37 CL-D,,Alcoa Rochester,$119,$113 ,5%,I718 PQ,Leap-1B/ AC,NO,N/A,Y,1/5/15,2/6/15,MCMELLON BROS,0.98,4.6,5.305,Y,10/5/15,12/7/15,10,6 WEEKS,In WIP,Y,NEW QUALIFICATION
122,2552M01G01  2468M16G01 (2635M61P01),1,2468M26P01,1215461,191363,176410,"Blisk, Aft Arm, Cmpressor Rotor ",3.13,8.05,11.38,Ti 6-4,C50TF12 CL-I,,Alcoa Rochester,"$1,634","$1,552 ",5%,Ti 6-4,Leap-1B/ AC,07312-VSE-13-00548,APPROVED,Y,9/26/14,,TUSAS,3.11,8.07,11.36,Y,,,,8 WEEKS,MAKING PRODUCTION PER LTA COS.  BTF send to Katie on 7/20.  Possibly 2 new PNs (2635M61P01 and 2578M81P01),Y,N/A
124,2468M18G01 (2635M64P01),1,2468M30P01,TBD,196070,,"Spool, Arm Aft Cmpressor Rotor",2.35,11.9,14.6,Ti-6242,C50TF39 CL-B,Yes ,Alcoa Rochester,"$1,579","$1,500 ",5%,Ti-6242,LEAP A/C,,VSE Under forging,N,,,GE Direct ,,,,,,,TBD,TBD,NO PART NUMBER IN SYSTEM - VSE MENTIONS FORGING.  BTF sent to Katie on 7/20,,NEW QUALIFICATION
125,2552M03G01 (2468M30P02),1,2468M30P02,TBD,196073,,"Spool, Arm Aft Cmpressor Rotor",1.675,11.727,13.708,Ti-6242,C50TF39 CL-B,Yes ,Alcoa Rochester,"$1,045",$993 ,5%,Ti-6242,Leap-1B,,VSE Under forging,N,,,GE Direct ,,,,,,,TBD,TBD,NO PART NUMBER IN SYSTEM - VSE MENTIONS FORGING.  BTF sent to Katie on 7/20,,NEW QUALIFICATION
127,2482M11G01,1,4013522-469P03,1216133,191368,192255,"Flange, Fwd TCF",0.97,24.25,26.816,I718,B50TF15 CL-D,,Alcoa Rochester,"$1,300","$1,235 ",5%,I718,Leap AC,07312-VSE-13-05747,APPROVED,Y,12/9/15,1/30/15,BARNES WINDSOR,0.97,24.25,26.816,Y,,,,8 WEEKS,MAKING PRODUCTION PER LTA COS,Y,N/A
128,2243M35G02,1,2243M35P03,1217171,196046,203747,Impingement Ring ,0.512,22.393,23.178,HastX,AMS 5536,,Alcoa Rochester,$255,$242 ,5%,HastX,Leap-1B,,,Y,9/29/15,11/25/15,TEI ,0.502,22.398,23.178,Y,,,6,TBD,No PO yet from TEI.  TEI working overlap plan. - PO RECEIVED FROM EMI,Y,NEW QUALIFICATION
129,2243M35G02,1,2243M35P07,1217172,196047,203728,Impingement Ring ,0.574,22.549,23.501,HastX,AMS 5536,,Alcoa Rochester,$295,$280 ,5%,HastX,Leap-1B,,,Y,9/29/15,11/25/15,TEI ,0.574,22.549,23.501,Y,,,6,TBD,No PO yet from TEI.  TEI working overlap plan. - PO RECEIVED FROM EMI,Y,NEW QUALIFICATION
134,2552M34P01,2,2552M34P01.000R,1217174,192634,202653,"SHROUD, COMPRESSOR STATOR- STAGE 4",1.046,14.045,15.0063,17-4 PH,"AMS 5643or AMS 5604",,Alcoa Rochester,$141,$134 ,5%,17-4PH,Leap-1B,,,Y,9/9/15,11/30/15,PCC WB ,1.046,14.045,15.0063,Y,,,20,6 WEEKS,PO RECEIVED FROM PCC WB,Y,NEW QUALIFICATION
136,2461M74P01,1,2461M74P01.000R,TBD,192636,,"SEAL, ROTATING, OIL-NUMBER 4 BEARIN",1.659,4.551,6.339,15-5 PH,AMS 2759/4,,Alcoa Rochester,$103,$98 ,5%,15-5PH,Leap-1B/ AC,,,N,,,EMI 50% / Liyang 30% ,,,,,,,TBD,TBD,,,NEW QUALIFICATION
