Engine Program,Sub Commodity Ldr,Production or Development,Any commitment for Production made?,Forging Part Number,Forging Supplier,Nomenclature,First due date,Alloy,Size,Weight,QTY,Billet Price,Price,Target Price,Target Weight,Target Billet Price,PO,Quoting Suppliers (Forging),Forging Price Analysis,Comments,Date,Finished P/N,Machine Shop,Engineer,On Score Card,Engine Module,
Leap,Bierman,Development,No,4013726-911P02,Carlton Forge,Inner Flange,5/7/12,I718+,"8 ",90,7,$15.00,"$2,315 ",,,,90Q15417,"Firth, Carlton",lowest bidder,,2/20/12,,UEC-TH,Eric Roberson,No,CDN,
Leap,Bierman,Development,No,2464M26P01,Firth Monroe,FWD Impingement Ring,6/25/12,HASTX,"8 ",48,27,$14.15,"$1,024.00 ",,,,90Q15442 item 001,"Firth, Carlton, Frisa, WRP",lowest bidder,,4/24/12,2464M25P03,Jean Galley,Robert Dyson,Yes,HPT,2464M25G01
Leap,Bierman,Development,No,2464M26P02,Firth Monroe,Aft Impingement Ring,6/25/12,HASTX,"8 ",61,27,$14.15,"$1,264.00 ",,,,90Q15442 item 002,"Firth, Carlton, Frisa, WRP",lowest bidder,,4/24/12,2464M25P04,Jean Galley,Robert Dyson,Yes,HPT,2464M25G01
Leap,Bierman,Development,No,2517M02P01,Forged Metals,Aft Retainer,7/30/12,I718,"8 ",77,20,$13.39,"$1,895.00 ",,,,90Q15435,"Firth, Carlton Frisa, WRP",lowest bidder,,4/20/12,2466M54P01,TEI,Robert Dyson,No,HPT,
Leap,Bierman,Development,No,4013726-902P02,Firth Monroe,Outer Aft Baffle,5/21/12,HS188,"8 ",64,6,$24.69,"$2,378 ",,,,1XQ15424,"Firth, Carlton",lowest bidder,,3/8/12,2462M26P02,UEC-TH,Chris Roller,Yes,CDN,2462M26P02
Leap,Bierman,Development,No,4013726-903P02,Firth Monroe,Outer Fwd Baffle,5/21/12,HS188,"8 ",35,6,$24.69,"$1,506.00 ",,,,1XQ15424,"Firth, Carlton",lowest bidder,,3/8/12,2462M26P03,UEC-TH,Chris Roller,Yes,CDN,2462M26P03
Leap,Bierman,Development,No,4013726-906P02,Firth Monroe,Inner Aft Baffle,5/21/12,HS188,"6 ",25,6,$25.69,"$1,186 ",,,,1XQ15424,"Firth, Carlton",lowest bidder,,3/8/12,2462M27P02,UEC-TH,Chris Roller,Yes,CDN,2462M27P02
Leap,Bierman,Development,No,TBD/Coord Memo,Forged Metals,4R Fwd Air Seal,TBD,I718,"6 ",43,28,$12.62,$986.00 ,,,,,"Firth, Carlton",lowest bidder,quoted I718 and 15-5,,2461M68P01,UEC-Poland,Adam Record,Yes,Bearings / Sump,
Leap,Bierman,Development,No,4013522-469P03,Firth Rixson-Monroe,TCF Fwd Flange,9/15/12,I718,"8 ",55,27,$12.17,"$1,649.00 ","$1,563.00 ",,,90Q15448,"Firth, Carlton",lowest bidder,need GT7350-i/p 6/27,5/31/12,,EMO,Doug Louder.,No,TCF,
Leap,Bierman,Development,No,4013726-337P02,Carlton Forge,HPC Stg.10 Inner Case,7/16/12,I783,"8 ",227,28,$38.00,"$12,836.00 ",,,,90Q15434,"Firth, Carlton",lowest bidder,,4/9/12,,FAST (China),Tom Doerflein,No,HPC,
Leap,Bierman,Development,No,4013522-470P03,Schlosser Forge,TCF Aft Flange Forging,9/15/12,I718,"10 ",245,27,$12.07,"$6,840.00 ","$6,690.00 ",,,90Q15449,"Firth, Carlton",lowest bidder,work scope added 1/10/13,5/31/12,,EMO,Doug Louder.,No,TCF,
Leap,Bierman,Development,No,2466M55P01,Firth Rixson-Monroe,HPT S2 Blade Reatianer,9/1/12,I718P,"8 ",39,27,$14.32,"$1,198.00 ",,,,90Q15447,"Firth, Carlton",lowest bidder,need print in DWB/GT7350 processed,5/29/12,,,Brandon Reynolds,No,HPT,
Leap,Bierman,Development,No,4013739-983P01,Schlosser Forge,Heat Shield,3/31/13,I718+,8,47,6,$16.91,"$1,498.00 ",,,,90H11502,"Schlosser, Carlton",lowest bidder,Note: cl. B mat'l,1/9/13,2554M83P01,Satellite Tool,Ed Stiftar,,,
Leap 1B,Bierman,Development,No,4013725-401P02,Schlosser Forge,1B Combustor Case,1/3/13,P718+,"12 ",1639,27,$15.21,"$29,985.00 ",,,,90Q15456,"Firth, Carlton",lowest bidder,,7/11/12,2548M29P01,,Chris Bosco,No,CDN,
Leap 1B,Bierman,Development,No,4013725-402P02,Carlton Forge,1B OGV,1/3/13,I718+,"12 ",592,27,$15.00,"$16,201 ",,,,90Q15457,"Firth, Carlton",lowest bidder,serial # VSE approved 4/24/13,7/11/12,,GKN,Chris Bosco,No,CDN,
Leap 1B,Bierman,Development,No,4013726-900P02,Firth Rixson-Monroe,Outer Liner AFT End,delivered,HS188,"10 ",117,28,$22.62,"$3,914.00 ",,,,90Q15467 item 001,"Firth, Carlton, Mt., WRP",lowest bidder,,11/8/12,,UEC-TH,Adam Kahn,,,
Leap 1B,Bierman,Development,No,4013739-631P01,Firth Rixson-Monroe,Outer Baffle AFT End,delivered,HS188,"10 ",80,28,$22.62,"$2,816.00 ",,,,90Q15467 item 002,"Firth, Carlton, Mt., WRP",lowest bidder,,11/8/12,,UEC-TH,Adam Kahn,,,
Leap 1B,Bierman,Development,No,4013726-903P03,Firth Rixson-Monroe,Outer Baffle FWD End,delivered,HS188,"10 ",39,28,$22.62,"$1,468.00 ",,,,90Q15467 item 003,"Firth, Carlton, Mt., WRP",lowest bidder,,11/8/12,,UEC-TH,Adam Kahn,,,
Leap 1B,Bierman,Development,No,4013726-906P03,Firth Rixson-Monroe,Inner Baffle AFT End,delivered,HS188,"8 ",25,28,$22.87,"$1,076 ",,,,90Q15467 item 004,"Firth, Carlton, Mt., WRP",lowest bidder,,11/8/12,,UEC-TH,Adam Kahn,,,
Leap 1B,Bierman,Development,No,4013726-908P02,Schlosser Forge,Domeplate,2/4/13,HS188,"10 ",367,28,$22.62,"$12,296.00 ",,,,90Q15468 item 001,"Firth, Carlton, Mt., WRP",lowest bidder,,11/8/12,,UEC-TH,Adam Kahn,,,
Leap 1B,Bierman,Development,No,4013726-911P04,Schlosser Forge,Inner Support Flange,2/4/13,I718+,"8 ",99,28,$13.87,"$2,474.00 ",,,,90Q15468 item 002,"Firth, Carlton, Mt., WRP",lowest bidder,,11/8/12,,UEC-TH,Adam Kahn,,,
Leap 1B,Bierman,Development,No,4013733-723P03,Schlosser Forge,Outer Support,2/4/13,I718+,"10 ",342,28,$13.77,"$9,149.00 ",,,,90Q15468 item 003,"Firth, Carlton, Mt., WRP",lowest bidder,,11/8/12,2559M17P02,UEC-TH,Adam Kahn,,,
Leap 1B,Bierman,Development,No,4013733-725P03,Schlosser Forge,Inner Support ,2/4/13,I718+,"10 ",242,28,$13.77,"$5,993.00 ",,,,90Q15468 item 004,"Firth, Carlton, Mt., WRP",lowest bidder,,11/8/12,2559M17P03,UEC-TH,Adam Kahn,,,
Leap 1B,Bierman,Development,No,2468M30P02,Carlton Forge,R4 Aft Arm Forging,3/13/13,Ti 6-2-4-2,"6 ",33,25,$26.00,"$1,980.00 ",,,,90H11503,"Carlton, Schlosser",lowest bidder,Life Controlled/RP,1/9/13,,GE-West Jefferson,Dan Williams,,,
Leap 1B,Bierman,Development,No,4013726-336P02,Schlosser Forge,HPC Extension Case,3/6/13,I718,10,388,25,$12.07,"$7,304 ",,,,90Q15470 item 001,"Firth, Carlton",lowest bidder,,11/28/12,,AIDC,Kevin Bowers,,,
Leap 1B,Bierman,Development,No,4013726-337P03,Schlosser Forge,HPC Stg. 10 Inner Case,2/20/13,I783,8,248,25,$37.00,"$11,245.00 ",,,,90Q15470 item 002,"Firth, Carlton",lowest bidder,,11/28/12,2552M51G01,AIDC,Kevin Bowers,,,
Leap 1B,Bierman,Development,No,4013726-338P02,Carlton Forge,HPC Stg. 10 Outer Case,2/20/13,I718,8,336,25,$13.65,"$7,380.00 ",,,,90Q15471,"Firth, Carlton",lowest bidder,,11/28/12,,AIDC,Kevin Bowers,,,
Leap 1B,Bierman,Development,No,4013726-330P03,Firth Rixson-Monroe,Stg.5 HPC Inner Case,4/3/13,M152,8,55,25,$3.45,$414.00 ,,,,90Q15472 item 001,"Firth, Carlton ",lowest bidder,,11/29/12,2552M45G01,UEC-WB,Kevin Bowers,,,
Leap 1B,Bierman,Development,No,4013726-331P03,Firth Rixson-Monroe,Stg. 5-6 HPC Inner Case,4/3/13,M152,8,88,25,$3.45,$785.00 ,,,,90Q15472 item 002,"Firth, Carlton ",lowest bidder,,11/29/12,2552M46G01,UEC-WB,Kevin Bowers,,,
Leap 1B,Bierman,Development,No,4013726-332P02,Carlton Forge,Stg. 6-7 HPC Inner Case,4/3/13,I718,8,107,25,$13.65,"$2,180.00 ",,,,90Q15473 item 001,"Firth, Carlton",lowest bidder,,11/29/12,2552M47G01,UEC-WB,Kevin Bowers,,,
Leap 1B,Bierman,Development,No,4013726-333P02,Carlton Forge,Stg. 7 HPC Inner Case,4/3/13,I718,8,119,25,$13.65,"$2,386.00 ",,,,90Q15473 item 002,"Firth, Carlton",lowest bidder,,11/29/12,2552M48G01,UEC-WB,Kevin Bowers,,,
Leap 1B,Bierman,Development,No,4013726-334P02,Schlosser Forge,Stg. 8 HPC Inner Case,4/3/13,I718,8,66,25,$12.17,"$1,333.00 ",,,,90Q15474 item 001,"Firth, Carlton",lowest bidder,,11/29/12,2552M49G01,UEC-WB,Kevin Bowers,,,
Leap 1B,Bierman,Development,No,4013726-335P02,Schlosser Forge,Stg. 8-9 HPC Inner Case,4/3/13,I718,8,100,25,$12.17,"$1,877.00 ",,,,90Q15474 item 002,"Firth, Carlton",lowest bidder,,11/29/12,2552M50G01,UEC-WB,Kevin Bowers,,,
Leap 1B,Bierman,Development,No,E1913,Schlosser Forge,TCF Fwd Hanger,TBD,R41,9.5,90,30,$15.30,"$2,869.00 ",,,,N/A,"Schlosser, Carlton",lowest bidder,Nego for S. Chipman�Schlosser NNS,1/14/13,2421M40P01,TDB,Scott Ryczek,,,
Leap 1B,Bierman,Development,No,2517M02P02,Firth Monroe,Stg. 2 Aft Retainer,8/26/13,I718,"8 ",116,22,$11.63,"$1,850.00 ",,,,90H11510,"Firth, Carlton",lowest bidder,,2/28/13,2541M82P01,TBD,Mike Scheper,,,
"Leap-1A, B",Bierman,Development,No,4013726-901P01,Carlton Forge,Outer Liner FWD End,delivered,HS188,,121,10,$25.00,"$5,265",,,,1XA31402,"Carlton, Firh",lowest bidder,,3/22/11,Yes,UEC - TH,Dan Kirtley,Yes,CDN,
"Leap-1A, B",Bierman,Development,No,4013726-904P01,Carlton Forge,Inner Liner AFT End,delivered,HS188,,75.5,10,$26.00,"$3,504",,,,1XA31402,"Carlton, Firh",lowest bidder,,3/22/11,Yes,UEC - TH,Dan Kirtley,Yes,CDN,
"Leap-1A, B",Bierman,Development,No,4013726-905P01,Carlton Forge,Inner Liner FWD End,delivered,HS188,,74,10,$26.00,"$3,581",,,,1XA31402,"Carlton, Firh",lowest bidder,,3/22/11,Yes,UEC - TH,Dan Kirtley,Yes,CDN,
"Leap-1A, B",Bierman,Development,No,4013725-384P01,Carlton Forge,FINS FWD Forging,8/1/12,I718+,"8 ",84,12,$16.50,"$2,340.00 ",,,,90Q15402,"Frisa, Carlton, Firth",lowest bidder,,1/18/12,2460M67G01,"Paradigm, Malden",Bill Lau,Yes,CDN,
"Leap-1A, B",Bierman,Development,No,4013725-383P01,Carlton Forge,FINS AFT Forging,8/1/12,GTD222,"10 ",186,12,$20.75,"$6,280.00 ",,,,90Q15403,"Frisa, Carlton, Firth",lowest bidder,,1/18/12,2460M67G01,"Paradigm, Malden",Bill Lau,Yes,CDN,
"Leap-1A, B",Bierman,Development,No,4013725-407P01,Carlton Forge,CDP Seal,6/18/12,I909,"6 ",97,11,$20.50,"$2,665.00 ",,,,90Q15409,Firth/Carlton,lowest bidder,,1/30/12,2460M47G01,Triumph,Steve Roller,Yes,CDN,
"Leap-1A, B",Bierman,Development,No,4013704-689P01,Carlton Forge,CDP Seal,6/18/12,I718+,"6 ",58,11,$18.00,"$2,255.00 ",,,,90Q15409,Firth/Carlton,lowest bidder,,1/30/12,2460M47G01,Triumph,Steve Roller,Yes,CDN,
"Leap-1A, B",Bierman,Development,No,4013726-907P02,Firth Monroe,Inner Fwd Baffle,5/21/12,HS188,"6 ",19,6,$25.69,$979.00 ,,,,1XQ15424,"Firth, Carlton",lowest bidder,,3/8/12,2462M27P03,UEC-TH,Chris Roller,Yes,CDN,2462M27P03
"Leap-1A, B",Bierman,Development,No,4013733-958P01,Firth Rixson-Monroe,Fwd Outer Seal Inner,8/13/12,GTD222,"10 ",62.5,27,$24.84,"$2,513.00 ",,,,90Q15425 item 002,"Firth, Carlton",lowest bidder,,4/10/12,2460M62G01,Ketema,Bappa Jana,Yes,CDN,
"Leap-1A, B",Bierman,Development,No,4013728-259P01,Firth Rixson-Monroe,Fwd Outer Seal Outer,6/25/12,I783,"8 ",129,27,$40.47,"$6,747 ",,,,90Q15425 item 001,"Firth, Carlton",lowest bidder,,4/10/12,2460M62G01,Ketema,Bappa Jana,Yes,CDN,
Leap 1B,Bierman,Development,No,4013737-344P01,Carlton Forge,4R Brg. Hsg.,6/24/13,I718,"8 ",157,30,$13.65,"$2,782.00 ",,,,90H11514,"Carlton, Firth, Frisa",lowest bidder,Print issued as NNS rec. ring,3/18/13,2542M85P01,,Claudia Guerrero,,,
Passport 20,Bierman,Development,No,4013725-553P01,Carlton Forge,Combustor Case (OGV),9/12/11,I718+,,401,18,$19.25,"$12,805","$7,644",-,-,90A31405,"Carlton, Firh",lowest bidder,,4/20/11,2460M70G01,TECT,John Van Benken,-,CDN,
Passport 20,Bierman,Development,No,2483M66P01,Carlton Forge,Stg. 3-4 Arm,9/12/11,Ti 6-2-4-2,,25.1,24,$30.15,"$1,484",$737,-,-,Z0A31409,"Carlton, Firh",lowest bidder,,6/9/11,,West Jeff.,Ben Rawe,-,HPC,
Passport 20,Bierman,Development,No,4013702-260P01,Schlosser Forge,Outer Liner,delivered,HS188,"10 ",445,9,$27.00,"$19,963",,,,10A31412,"Firth, Carlton",lowest bidder,obsolete�change to P02,6/22/11,2503M41G01,UEC - TH,Ben Tom,-,HPC,
Passport 20,Bierman,Development,No,4013702-261P01,Schlosser Forge,Inner Liner,delivered,HS188,"10 ",341,9,$27.00,"$14,979",,,,10A31413,"Firth, Carlton",lowest bidder,obsolete�change to P02,6/22/11,2503M45G01,UEC - TH,Ben Tom,-,HPC,
Passport 20,Bierman,Development,No,4013702-270P01,Schlosser Forge,Dome Plate ,delivered,HS188,"10 ",319,23,$27.00,"$15,877",,,,90A31414,"Firth, Carlton",lowest bidder,,6/23/11,2503M50P01,UEC - TH,Ben Tom,-,HPC,
Passport 20,Bierman,Development,No,4013708-905P01,Carlton Forge,Outer AFT Ring,2/17/12,HS188,"8 ",138,23,$26.00,"$6,647",,,,90A31415,"Carlton, Firh",lowest bidder,,6/23/11,2503M41G01,UEC - TH,Ben Tom,-,HPC,
Passport 20,Bierman,Development,No,4013708-906P01,Carlton Forge,Inner Aft Ring,2/17/12,HS188,"8 ",95,23,$26.00,"$4,758",,,,90A31416,"Carlton, Firh",lowest bidder,,6/23/11,2503M45G01,UEC - TH,Ben Tom,-,HPC,
Passport 20,Bierman,Development,No,4013725-557P01,Carlton Forge,CDP Seal,1/31/12,I909,,47.7,18,$16.80,"$1,464",,,,90A31418,"Carlton, Firh",lowest bidder,,7/6/11,2460M69G01,Ketema,John Van Benken,-,CDN,
Passport 20,Bierman,Development,No,2475M01P01,Frisa,HPT Case,1/16/12,I718+,,577.6,20,$17.98,"$14,445","$7,370",-,-,90A31419,"Frisa, Carlton, Firth",lowest bidder,,7/15/11,2475M00G01,"Paradigm, Malden",Gianna Busso,-,HPT,
Passport 20,Bierman,Development,No,2471M22P01,Carlton Forge,Stg. 2 HPT Blade Retainer,11/14/11,P I718,,91,24,$19.07,"$3,300",$364,14#,$15,90A31420,"Carlton, Firh",lowest bidder,Hold for design change,7/22/11,2471M21P01,UEC - ASHE,Tom Dole,-,HPT,
Passport 20,Bierman,Development,No,4013725-550P01,Schlosser Forge,CDP Seal,1/31/12,I718+,"8 ",58,18,$12.84,"$1,400",,,,1XA31422-01,"Firth, Carlton",lowest bidder,,7/31/11,2460M69G01,Ketema,John Van Benken,-,CDN,
Passport 20,Bierman,Development,No,4013725-551P01,Schlosser Forge,Combustor Case,1/31/12,P I718+,"12 ",1439,18,$13.09,"$27,250","$10,690",-,-,1XA31422-02,"Firth, Carlton",lowest bidder,,7/31/11,2460M70G01,FAST,"Brian Dixon, John Van Benken",-,CDN,
Passport 20,Bierman,Development,No,4013725-552P01,Schlosser Forge,Combustor Case (inner leg),1/31/12,P I718+,"8 ",206,18,$13.19,"$4,100","$7,644",-,-,1AX31422-03,"Firth, Carlton",lowest bidder,,7/31/11,2460M70G01,FAST,John Van Benken,-,CDN,
