Engine Program,Sub Commodity Ldr,Production or Development,Any commitment for Production made?,Forging Part Number,Forging Supplier,Nomenclature,Alloy,Size,Weight,QTY,Billet Price,Price,$/Forging,Target Price,Target Weight,Target Billet Price,1=,Weight Savings,Finished P/N
Leap,Bierman,Development,No,2464M26P01,Firth Monroe,FWD Impingement Ring,HASTX,"10",48,27,$14.15,"$1,024","$4,013",$401,183,$14.15,10,29.7,2464M25P03
Leap,Bierman,Development,No,2464M26P02,Firth Monroe,Aft Impingement Ring,HASTX,"10",61,27,$14.15,"$1,264","$3,626",$453,165,$14.15,8,40.375,2464M25P04
Leap,Bierman,Development,No,2517M02P01,Forged Metals,Aft Retainer,I718,"10",77,20,$13.39,"$1,895","$5,500","$1,375",258,$13.39,4,12.5,2466M54P01
Leap,Bierman,Development,No,4013726-902P02,Firth Monroe,Outer Aft Baffle,HS188,"10",64,6,$24.69,"$2,378","$8,789",$799,213,$24.69,11,44.63636364,2462M26P02
Leap,Bierman,Development,No,4013726-903P02,Firth Monroe,Outer Fwd Baffle,HS188,"10",35,6,$24.69,"$1,506","$9,219",$659,226,$24.69,14,18.85714286,2462M26P03
Leap,Bierman,Development,No,4013726-906P02,Firth Monroe,Inner Aft Baffle,HS188,"10",25,6,$25.69,"$1,186","$6,427",$459,145,$25.69,14,14.64285714,2462M27P02
Leap,Bierman,Development,No,TBD/Coord Memo,Forged Metals,4R Fwd Air Seal,I718,"10",43,28,$12.62,$986,$949,$949,38,$12.62,1,#REF!,2461M68P01
Leap,Bierman,Development,No,4013522-469P03,Firth Rixson-Monroe,TCF Fwd Flange,I718,"10",55,27,$12.17,"$1,649","$2,585",$862,132,$12.17,3,#REF!,0
Leap,Bierman,Development,No,4013726-337P02,Carlton Forge,HPC Stg.10 Inner Case,I783,"10",227,28,$38.00,"$12,836",,"$6,766",248,$18.00,2,#REF!,0
Leap,Bierman,Development,No,4013522-470P03,Schlosser Forge,TCF Aft Flange Forging,I718,"10",245,27,$12.07,"$6,840","$8,510","$4,255",462,$14.15,2,#REF!,0
Leap,Bierman,Development,No,2466M55P01,Firth Rixson-Monroe,HPT S2 Blade Reatianer,I718P,"10",39,27,$14.32,"$1,198","$3,199",$457,135,$0.00,7,#REF!,0
Leap,Bierman,Development,No,4013729-983P01,Schlosser Forge,Heat Shield,I718+,"10",47,6,$16.91,"$1,498","$3,173","$1,587",100,$16.91,2,-3,#N/A
Leap 1B,Bierman,Development,No,4013725-401P02,Schlosser Forge,1B Combustor Case,I718+,"10",1639,27,$15.21,"$29,985","$19,585","$19,585",730,$15.21,1,909,2548M29P01
Leap 1B,Bierman,Development,No,4013725-402P02,Carlton Forge,1B OGV,I718+,"10",592,27,$15.00,"$16,201",,"$13,200",443,$15.00,1,149,0
Leap 1B,Bierman,Development,No,4013726-900P02,Firth Rixson-Monroe,Outer Liner AFT End,HS188,"10",117,28,$22.62,"$3,914","$4,846",$969,124,$22.62,5,92.2,0
Leap 1B,Bierman,Development,No,4013739-631P01,Firth Rixson-Monroe,Outer Baffle AFT End,HS188,"10",80,28,$22.62,"$2,816","$5,491",$686,142,$22.62,8,62.25,0
Leap 1B,Bierman,Development,No,4013726-903P03,Firth Rixson-Monroe,Outer Baffle FWD End,HS188,"10",39,28,$22.62,"$1,468","$5,686",$632,147,$22.62,9,22.66666667,0
Leap 1B,Bierman,Development,No,4013726-906P03,Firth Rixson-Monroe,Inner Baffle AFT End,HS188,"10",25,28,$22.87,"$1,076","$5,351",$382,136,$22.87,14,15.28571429,0
Leap 1B,Bierman,Development,No,4013726-908P02,Schlosser Forge,Domeplate,HS188,"10",367,28,$22.62,"$12,296","$6,555","$6,555",179,$22.62,1,188,0
Leap 1B,Bierman,Development,No,4013726-911P04,Schlosser Forge,Inner Support Flange,I718+,"10",99,28,$13.87,"$2,474",OBSOLETE,OBSOLETE,OBSOLETE,OBSOLETE,OBSOLETE,#VALUE!,0
Leap 1B,Bierman,Development,No,2468M30P02,Carlton Forge,R4 Aft Arm Forging,Ti 6-2-4-2,"10",33,25,$26.00,"$1,980",,"$1,118",23.5,$26.00,,#DIV/0!,0
Leap 1B,Bierman,Development,No,4013726-336P02,Schlosser Forge,HPC Extension Case,I718,"10",388,25,$12.07,"$7,304","$3,228","$3,228",164,$12.07,1,224,0
Leap 1B,Bierman,Development,No,4013726-337P03,Schlosser Forge,HPC Stg. 10 Inner Case,I783,"10",248,25,$37.00,"$11,245","$17,791","$8,896",343,$37.00,2,76.5,2552M51G01
Leap 1B,Bierman,Development,No,4013726-330P03,Firth Rixson-Monroe,Stg.5 HPC Inner Case,M152,"10",55,25,$3.45,$414,"$1,392",$232,152,$3.45,6,29.66666667,2552M45G01
Leap 1B,Bierman,Development,No,4013726-331P03,Firth Rixson-Monroe,Stg. 5-6 HPC Inner Case,M152,"10",88,25,$3.45,$785,"$1,267",$422,138,$3.45,3,42,2552M46G01
Leap 1B,Bierman,Development,No,4013726-332P02,Carlton Forge,Stg. 6-7 HPC Inner Case,I718,"10",107,25,$13.65,"$2,180","$3,652","$1,826",166,$13.65,2,24,2552M47G01
Leap 1B,Bierman,Development,No,4013726-333P02,Carlton Forge,Stg. 7 HPC Inner Case,I718,"10",119,25,$13.65,"$2,386",,"$2,188",101,$13.65,,#DIV/0!,2552M48G01
Leap 1B,Bierman,Development,No,4013726-334P02,Schlosser Forge,Stg. 8 HPC Inner Case,I718,"10",66,25,$12.17,"$1,333","$3,025",$605,152,$12.17,5,35.6,2552M49G01
Leap 1B,Bierman,Development,No,4013726-335P02,Schlosser Forge,Stg. 8-9 HPC Inner Case,I718,"10",100,25,$12.17,"$1,877","$2,269","$1,135",114,$12.17,2,43,2552M50G01
Leap 1B,Bierman,Development,No,E1913,Schlosser Forge,TCF Fwd Hanger,R41,"10",90,30,$15.30,"$2,869",Which is the final design?,#N/A,#N/A,#N/A,#N/A,#N/A,2421M40P01
Leap 1B,Bierman,Development,No,4013522-475P01,Schlosser Forge,TCF Forging,I718,"10",755,25,$12.02,"$15,307",OBSOLETE,OBSOLETE,OBSOLETE,OBSOLETE,OBSOLETE,#VALUE!,#N/A
Leap 1B,Bierman,Development,No,4013522-476P01,Schlosser Forge,TCF Forging,I718,"10",489,25,$12.02,"$8,098",OBSOLETE,OBSOLETE,OBSOLETE,OBSOLETE,OBSOLETE,#VALUE!,#N/A
Leap 1B,Bierman,Development,No,2517M02P02,Firth Monroe,Stg. 2 Aft Retainer,I718,"10",116,22,$11.63,"$1,850","$2,911",$970,157,$11.63,3,63.66666667,2541M82P01
"Leap-1A, B",Bierman,Development,No,4013726-901P01,Carlton Forge,Outer Liner FWD End,HS188,"10",121,10,$25.00,"$5,265",$0,"$1,819",44,$25.00,1,77,Yes
"Leap-1A, B",Bierman,Development,No,4013726-904P01,Carlton Forge,Inner Liner AFT End,HS188,"10",75.5,10,$26.00,"$3,504",,"$1,335",29,$25.00,1,46.5,Yes
"Leap-1A, B",Bierman,Development,No,4013726-905P01,Carlton Forge,Inner Liner FWD End,HS188,"10",74,10,$26.00,"$3,581",,"$1,172",28,$25.00,1,46,Yes
"Leap-1A, B",Bierman,Development,No,4013725-384P01,Carlton Forge,FINS FWD Forging,I718+,"10",84,12,$16.50,"$2,340",,"$1,524",46,$16.50,1,38,2460M67G01
"Leap-1A, B",Bierman,Development,No,4013725-383P01,Carlton Forge,FINS AFT Forging,GTD222,"10",186,12,$20.75,"$6,280",,"$3,642",104,$20.75,1,82,2460M67G01
"Leap-1A, B",Bierman,Development,No,4013726-907P02,Firth Monroe,Inner Fwd Baffle,HS188,"10",19,6,$25.69,$979,"$5,501",$393,121,$25.69,14,10.35714286,2462M27P03
"Leap-1A, B",Bierman,Development,No,4013733-958P01,Firth Rixson-Monroe,Fwd Outer Seal Inner,GTD222,"10",62.5,27,$24.84,"$2,513","$4,224","$1,408",116,$24.84,3,23.83333333,2460M62G01
"Leap-1A, B",Bierman,Development,No,4013728-259P01,Firth Rixson-Monroe,Fwd Outer Seal Outer,I783,"10",129,27,$40.47,"$6,747","$11,977","$2,994",215,$40.47,4,75.25,2460M62G01
Leap-1B,Bierman,Development,No,2542M85P01,TBD,4R Brg. Hsg.,I718,"10",0,0,$0.00,$0,$0,$0,0,$15.00,0,#DIV/0!,#N/A
Passport 20,Bierman,Development,No,4013725-553P01,Carlton Forge,Combustor Case (OGV),I718+,"10",401,18,$19.25,"$12,805",$0,"$10,152",312,$19.25,1,89,2460M70G01
Passport 20,Bierman,Development,No,2483M66P01,Carlton Forge,Stg. 3-4 Arm,Ti 6-2-4-2,"10",25.1,24,$30.15,"$1,484",$0,"$1,254",20,$30.15,1,5.1,0
Passport 20,Bierman,Development,No,4013702-260P01,Schlosser Forge,Outer Liner,HS188,"10",445,9,$27.00,"$19,963","$12,631","$6,316",289,$27.00,2,300.5,2503M41G01
Passport 20,Bierman,Development,No,4013702-261P01,Schlosser Forge,Inner Liner,HS188,"10",341,9,$27.00,"$14,979","$7,396","$3,698",161,$27.00,2,260.5,2503M45G01
Passport 20,Bierman,Development,No,4013702-270P01,Schlosser Forge,Dome Plate ,HS188,"10",319,23,$27.00,"$15,877","$5,287","$5,287",123,$27.00,1,196,2503M50P01
Passport 20,Bierman,Development,No,4013708-905P01,Carlton Forge,Outer AFT Ring,HS188,"10",138,23,$26.00,"$6,647",$0,"$2,503",49,$26.00,1,89,2503M41G01
Passport 20,Bierman,Development,No,4013708-906P01,Carlton Forge,Inner Aft Ring,HS188,"10",95,23,$26.00,"$4,758",$0,"$2,102",37,$26.00,1,58,2503M45G01
Passport 20,Bierman,Development,No,4013725-557P01,Carlton Forge,CDP Seal,I909,"10",47.7,18,$16.80,"$1,464",$0,"$1,245",40,$16.80,1,7.7,2460M69G01
Passport 20,Bierman,Development,No,2475M01P01,Frisa,HPT Case,I718+,"10",577.6,20,$17.98,"$14,445","$8,767","$8,767",264,$17.98,1,313.6,2475M00G01
Passport 20,Bierman,Development,No,2471M22P01,Carlton Forge,Stg. 2 HPT Blade Retainer,P I718,"10",91,24,$19.07,"$3,300",$0,"$3,280",113,$19.07,6,72.16666667,2471M21P01
Passport 20,Bierman,Development,No,4013725-550P01,Schlosser Forge,CDP Seal,I718+,"10",58,18,$12.84,"$1,400","$1,388",$463,50,$12.84,3,41.33333333,2460M69G01
Passport 20,Bierman,Development,No,4013725-551P01,Schlosser Forge,Combustor Case,P I718+,"10",1439,18,$13.09,"$27,250","$12,160","$12,160",491,$13.09,1,948,2460M70G01
Passport 20,Bierman,Development,No,4013725-552P01,Schlosser Forge,Combustor Case (inner leg),P I718+,"10",206,18,$13.19,"$4,100","$1,604","$1,604",37,$13.19,1,169,2460M70G01
Passport 20,Bierman,Development,No,4013727-205P01,Forged Metals,HPC Case,I718,"10",370,15,$15.45,"$7,325","$3,483","$3,483",141,$15.45,1,229,2484M74G01
Passport 20,Bierman,Development,No,4013731-140P01,Frisa,Splitter Air Flow,TI 6-4,"10",216,18,$13.74,"$4,275","$4,727","$2,364",209,$13.74,2,111.5,2480M95G01
Passport 20,Bierman,Development,No,2094M87P01,Carlton Forge,Aft. Mt. Ring,P Ti 6-4,"10",535,18,$22.30,"$18,925","$21,716","$10,858",666,$22.30,2,202,2094M68P01
Passport 20,Bierman,Development,No,4013728-257P01,Carlton Forge,FINS Forging (fwd flange),I718+,"10",54,20,$17.00,"$1,760",$0,$782,80,$17.00,4,34,2460M71P01
Passport 20,Bierman,Development,No,4013728-258P01,Schlosser Forge,FOS Forging (inner),I783,"10",69,20,$37.00,"$3,839","$3,162","$1,581",58,$37.00,2,40,2462M58P02
Passport 20,Bierman,Development,No,4013725-380P01,Schlosser Forge,FOS OD Flange,GTD222,"10",84,20,$24.84,"$2,845","$2,004",$501,50,$24.84,4,71.5,2462M58P01
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,"10",#REF!,#REF!,#REF!,#REF!,,,,,,#REF!,#REF!
Passport 20,Bierman,Development,No,4013727-207P01,Schlosser Forge,Stg. 8-9 HPC Case,I718,"10",122,18,$13.39,"$2,272","$2,458",$819,112,$13.39,3,84.66666667,2484M79G01
Passport 20,Bierman,Development,No,4013727-208P01,Schlosser Forge,Stg. 8 HPC Case,I718,"10",84,18,$13.39,"$1,704","$2,592",$518,119,$13.39,5,60.2,2484M78G01
Passport 20,Bierman,Development,No,4013727-209P01,Schlosser Forge,Stg. 7-8 HPC Case,I718,"10",156,18,$13.39,"$2,961","$2,757","$1,379",130,$13.39,2,91,2484M81G01
Passport 20,Bierman,Development,No,4013727-210P01,Schlosser Forge,Stg. 6-7 HPC Case,I718,"10",114,18,$13.39,"$2,433","$1,109","$1,109",46,$13.76,1,68,2484M77G01
Passport 20,Bierman,Development,No,4013727-211P01,Schlosser Forge,Stg. 5-6 HPC Case,I718,"10",111,18,$13.39,"$2,304","$1,476",$738,62,$13.76,2,80,2484M76G01
Passport 20,Bierman,Development,No,4013727-212P01,Schlosser Forge,Stg. 5 HPC Case,I718,"10",80,18,$13.39,"$1,639","$1,235",$618,50,$13.76,2,55,2484M75G01
Passport 20,Bierman,Development,No,4013733-909P01,Carlton Forge,CDP Bolt Cover,I718+,"10",29,18,$19.75,"$1,255",$0,$575,12,$19.75,1,17,2460M74P01
Passport 20,Bierman,Development,No,2517M69P01,Firth Monroe,#3 Damper Housing,Ti 6-4,"10",29,20,$18.00,$985,"$1,057",$352,33,$18.00,3,18,2485M33P01
Passport 20,Bierman,Development,No,2517M67P01,Frisa,#1 Bearing Housing,Ti 6-4,"10",637,20,$13.71,"$13,130","$4,428","$4,428",197,$13.71,1,440,2483M03P01
Passport 20,Bierman,Development,No,2517M68P01,Carlton Forge,#2 Bearing Housing,Ti 6-4,"10",143,20,$18.20,"$3,920",$0,"$2,034",50,$18.20,1,93,2483M13P01
Passport 20,Bierman,Development,No,4013727-206P01 ,Schlosser Forge,Stg. 10 HPC Case,I718+,"10",257,20,$14.77,"$5,884","$4,459","$4,459",113,$19.50,1,144,2484M80P01
Passport 20,Bierman,Development,No,4013727-206P02,Schlosser Forge,Stg. 10 HPC Case,I718,"10",250,6,$12.79,"$4,673","$2,683","$2,683",108,$13.76,1,142,2484M80 Inner
Passport 20,Bierman,Development,No,4013702-260P02,Schlosser Forge,Outer Liner,HS188,"10",817,6,$25.20,"$32,709","$6,234","$1,559",152,$25.20,4,779,2503M41G01
Passport 20,Bierman,Development,No,4013702-260P03,Schlosser Forge,Outer Liner,HS188,"10",675,2,$25.20,"$27,888",Duplicate,$0,0,$25.20,0,#DIV/0!,2503M41G01
Passport 20,Bierman,Development,No,4013702-261P02,Schlosser Forge,Inner Liner,HS188,"10",471,6,$25.20,"$19,932",Estimated as 2 rings,"$1,457",0,$25.20,0,#DIV/0!,2503M45P01
Passport 20,Bierman,Development,No,2475M27P01,Carlton Forge,Fan Spinner Forging,Alum.,"10",109,20,$2.15,"$2,331",$0,"$1,820",53,$2.15,1,56,2480M91G01
Passport 20,Bierman,Development,No,4013733-997P01,Schlosser Forge,FOS Inner Leg Forging,GTD222,"10",25,20,$28.87,"$3,505",Duplicate,$0,0,$28.87,0,#DIV/0!,2462M58G01
Passport 20,Bierman,Development,No,2476M97P01,Firth Rixson-Monroe,"Bracket, Cowl Suppot",Ti 6-4,"10",152,20,$16.34,"$3,701","$4,241","$2,121",169,$16.34,2,67.5,2480M98P01
Passport 20,Bierman,Development,No,4013733-968P01,TBD,FINS Forging,GTD222,"10",0,20,$0.00,$0,$0,$0,0,$15.00,0,#DIV/0!,0
Passport 20,Bierman,Development,No,2514M81P01,Firth Rixson-Monroe,Fwd Hanger,R41,"10",210,20,$16.31,"$5,875","$3,246","$3,246",92,$16.31,1,118,2474M09P01
Passport 20,Bierman,Development,No,2514M82P01,Firth Rixson-Monroe,Fwd L Clip,R41,"10",42,20,$17.01,"$1,644","$4,005",$334,108,$17.01,12,33,2514M82P01
Passport 20,Bierman,Development,No,2514M83P01,Carlton Forge,Aft Hanger,R41,"10",414,20,$16.00,"$11,450",$0,"$4,644",260,$16.00,2,284,2474M13P01
Passport 20,Bierman,Development,No,2514M84P01,Forged Metals,Split Fairing,HASTX,"10",44,20,$12.94,"$1,654",Canceled,$0,0,$12.94,0,#DIV/0!,0
Passport 20,Bierman,Development,No,2514M85P01,Firth Rixson-Monroe,HPT Lab Seal,HS188,"10",131,20,$21.41,"$4,929",Estimated as 3 rings,"$1,762",0,$21.41,0,#DIV/0!,2474M12G01
Passport 20,Bierman,Development,No,2514M86P01,Carlton Forge,HPT Lab Seal,I718,"10",121,20,$15.00,"$2,930",$0,"$1,771",74,$15.00,1,47,2474M12G01
Passport 20,Bierman,Development,No,2514M87P01,Carlton Forge,Fwd Plate Fwd,R41,"10",50,20,$16.00,"$2,085",$0,$632,12.5,$16.00,1,37.5,2498M26P01
Passport 20,Bierman,Development,No,2514M88P01,Carlton Forge,Fwd Plate Aft,R41,"10",50,20,$16.00,"$2,085",$0,$632,12.5,$16.00,1,37.5,2498M27P01
Passport 20,Bierman,Development,No,2514M89P01,Carlton Forge,Mid Plate Fwd,R41,"10",70,20,$16.00,"$2,635",$0,$819,19,$16.00,1,51,2498M20P01
Passport 20,Bierman,Development,No,2514M90P01,Carlton Forge,Mid Plate Aft,R41,"10",163,20,$16.00,"$4,660",$0,"$1,118",24.5,$16.00,1,138.5,2474M15G01
Passport 20,Bierman,Development,No,2514M92P01,Carlton Forge,Mid Plate Aft,I718,"10",126,20,$15.00,"$3,137",$0,$617,20,$15.00,1,106,2474M15G01
Passport 20,Bierman,Development,No,2514M93P01,Carlton Forge,Aft Plate Fwd,R41,"10",161,20,$16.00,"$4,935",$0,"$2,922",87,$16.00,1,74,2498M22P01
Passport 20,Bierman,Development,No,2514M94P01,Carlton Forge,Aft Plate Aft,R41,"10",72,20,$16.00,"$2,585",$0,$849,20,$16.00,1,52,2498M23P01
Passport 20,Bierman,Development,No,2514M97P01,Firth Rixson-Monroe,Seal Arm Fwd,R41,"10",69,20,$17.01,"$2,344","$1,945",$648,47,$17.01,3,53.33333333,2502M37P01
Passport 20,Bierman,Development,No,4013733-966P01,Carlton Forge,Bolt Cover,R41,"10",85,20,$16.00,"$2,470",$0,"$1,542",31.25,$16.00,1,53.75,2462M57P01
Passport 20,Bierman,Development,No,4013733-257P02,Schlosser Forge,Stg. 10 HPC Outer Ring,I718+,"10",159,20,"$14,67","$3,716","$8,612","$2,153",248,$19.50,4,97,2484M80 Outer
Passport 20,Bierman,Development,No,4013733-028P01,Carlton Forge,IGV Ring Forging,Ti 6-4,"10",10,20,$18.95,$455,$0,$455,10,$18.95,1,0,2484M30
Passport 20,Bierman,Development,No,4013733-028P02,Firth Rixson-Monroe,Stg. 1 Actuating Ring,Ti 6-4,"10",11,20,$18.00,$432,"$2,267",$252,74,$18.00,9,2.777777778,2484M31
Passport 20,Bierman,Development,No,4013733-028P03,Carlton Forge,Stg. 2 Actuating Ring,Ti 6-4,"10",9,20,$18.95,$440,$0,$440,9,$18.95,1,0,2484M32
Passport 20,Bierman,Development,No,4013733-028P02,Firth Rixson-Monroe,Stg. 1 Actuating Ring,Ti 6-4,"10",11,20,$18.00,$432,"$2,267",$252,74,$18.00,9,2.777777778,2484M31
Passport 20,Bierman,Development,No,4013733-028P03,Carlton Forge,Stg. 2 Actuating Ring,Ti 6-4,"10",9,20,$18.95,$440,$0,$440,9,$18.95,1,0,2484M32
Passport 20,Bierman,Development,No,4013733-028P04,Firth Rixson-Monroe,Stg. 3 Actuating Ring,Ti 6-4,"10",10,20,$18.00,$432,"$2,267",$252,74,$18.00,9,1.777777778,2484M33
Passport 20,Bierman,Development,No,4013733-028P05,Carlton Forge,Stg. 4 Actuating Ring,17-4,"10",14,20,$3.15,$286,$0,$286,14,$3.15,1,0,2484M34
Passport 20,Bierman,Development,No,4013733-257P01,Schlosser Forge,Stg. 10 HPC Outer Ring,I718,"10",147,5,$13.39,"$3,035","$5,496","$1,374",235,$13.39,4,88.25,2484M80
Passport 20,Bierman,Development,No,13.2 x 11.55 x 1.3,Firth Rixson-Monroe,Stationary Seal,I718,"10",25,20,$12.67,$655,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2497M84G01
Passport 20,Bierman,Development,No,2560M35P01,Carlton Forge,Damper Ring,I718P,"10",30,27,$14.15,"$1,049",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2476M87P01/P02
Leap,Kiessling,Development,No,2466M57P01,Firth,HPT Aft Seal,718,"10",198,0,$0.00,"$5,662",,,,,,#DIV/0!,2466M56P01
Leap,Kiessling,Development,No,2466M64P01,WGH,Aft Shaft,718,"10",143,0,$0.00,"$4,250",,,,,,#DIV/0!,0
Leap,Kiessling,Development,No,2468M29P01,firth,Stg 5 blisk,718,"10",207,24,$13.20,"$5,682",,,,,,#DIV/0!,0
Leap,Kiessling,Development,CANCELLED,2468M33P01,Chentech,stg 8,718,"10",207,24,$13.20,"$5,682",,,,,,#DIV/0!,Canceled
Passport 20,Kiessling,Development,CANCELLED,2468M33P02,Chentech,stg 8,718,"10",322,24,$11.78,"$7,800",,,,,,#DIV/0!,0
